,date,mean_temp,max_temp,min_temp,precipitation,endofweek,beer_consumption_1000
1,01-01-2015,27.3,23.9,32.5,0,0,25.46
2,02-01-2015,27.02,24.5,33.5,0,0,28.972
3,03-01-2015,24.82,22.4,29.9,0,1,30.814
4,04-01-2015,23.98,21.5,28.6,1.2,1,29.799
5,05-01-2015,23.82,21,28.3,0,0,28.9
6,06-01-2015,23.78,20.1,30.5,12.2,0,28.2
7,07-01-2015,24,19.5,33.7,0,0,29.732
8,08-01-2015,24.9,19.5,32.8,48.6,0,28.397
9,09-01-2015,28.2,21.9,34,4.4,0,24.886
10,10-01-2015,26.76,22.1,34.2,0,1,37.937
11,11-01-2015,27.62,22.2,34.8,3.4,1,36.254
12,12-01-2015,25.96,21.4,35.4,0,0,25.743
13,13-01-2015,25.52,21.2,34.8,0.8,0,26.99
14,14-01-2015,25.96,21.3,34,1.6,0,31.825
15,15-01-2015,25.86,21.5,32.8,3,0,25.724
16,16-01-2015,26.5,22.3,32.7,2,0,29.938
17,17-01-2015,28.86,22,35.8,0,1,37.69
18,18-01-2015,28.26,23.4,35.6,0,1,30.524
19,19-01-2015,28.22,22.7,36.5,3.7,0,29.265
20,20-01-2015,27.68,23.3,35.6,0.6,0,35.127
21,21-01-2015,25.32,22.7,30.9,0,0,29.13
22,22-01-2015,21.74,19.2,26.1,31,0,25.795
23,23-01-2015,21.04,18.5,26.1,3.6,0,21.784
24,24-01-2015,23.12,19,29.4,13,1,28.348
25,25-01-2015,24.4,18.1,30,0,1,31.088
26,26-01-2015,22.4,18.9,28.7,20.8,0,21.52
27,27-01-2015,23.6,20.5,28.7,1.2,0,29.972
28,28-01-2015,25.68,20.1,29.9,4.9,0,22.603
29,29-01-2015,25,21.5,29.2,0,0,22.696
30,30-01-2015,22.8,20.9,26.9,0,0,26.845
31,31-01-2015,21.64,18.5,24.3,0.2,1,27.03
32,01-02-2015,24.16,20.6,28,0,1,32.057
33,02-02-2015,22.48,20.7,26.5,4.5,0,24.097
34,03-02-2015,23.16,18,31.1,1.6,0,31.655
35,04-02-2015,22.12,19.9,23.7,3.2,0,24.738
